0,Бренд,Предмет,Артикул продавца,Артикул WB,Последний баркод,Текущая розн. цена (до скидки),"Текущая скидка на сайте, %",Минимальная цена,
236,P.I.T.,Аккумуляторы для электроинструмента,"blandMak-18-2,0blandMak-18-2,0",111436068,2038045526627,2580,6,1832,
237,P.I.T.,Аккумуляторы для электроинструмента,blandMak-12-2.0blandMak-12-2.0,113745299,2039574602622,1990,0,1413,
238,P.I.T.,Аккумуляторы для электроинструмента,blandMak-18-1.5blandMak-18-1.5,113746399,2039575429624,2260,0,1605,
239,P.I.T.,Аккумуляторы для электроинструмента,blandPH20-3.0blandPH20-3.0,111434036,2038045054625,2605,0,1850,
240,P.I.T.,Аккумуляторы для электроинструмента,blandBos-14.4-2.0-NI-MHblandBos-14.4-2.0-NI-MH,111407912,2038037950621,2390,0,1697,
241,P.I.T.,Аккумуляторы для электроинструмента,"blandMak-10,8-1,5-Li/SLblandMak-10,8-1,5-Li/SL",111409981,2038038474621,1155,0,820,
242,P.I.T.,Аккумуляторы для электроинструмента,"blandBos-14,4-1,5-Li",147143084,2037484241634,2210,0,1569,
243,P.I.T.,Аккумуляторы для электроинструмента,"blandMak-18-1,5",147003087,2037480131540,2260,0,1605,
244,P.I.T.,Аккумуляторы для электроинструмента,"blandMak-12-1,5",147008797,2037480279594,1785,0,1267,
245,P.I.T.,Аккумуляторы для электроинструмента,"blandMak-12-2,0",147005471,2037480220800,1990,0,1413,
246,P.I.T.,Аккумуляторы для электроинструмента,blandBOS-18 Li-ion,147028877,2037480690832,2535,0,1800,
247,P.I.T.,Аккумуляторы для электроинструмента,"blandDew -12-1,5-Li",147014112,2037480353065,1550,0,1101,
248,P.I.T.,Аккумуляторы для электроинструмента,"blandBos-18-2,0",147025684,2037480609513,2535,0,1800,
249,P.I.T.,Аккумуляторы для электроинструмента,"blandMak-10,8-1,5-Li /SL",147023852,2037480554530,1399,0,993,
250,P.I.T.,Аккумуляторы для электроинструмента,"blandHit-14,4-2,0",147022042,2037480528074,2420,0,1718,
251,P.I.T.,Аккумуляторы для электроинструмента,"blandBos 18-3,0-Li",147019454,2037480481577,3845,0,2730,
